Title,Year,Language,Genre,Release date (India),Runtime(mins),Banner,Director,Cast
Ocean's Eight,2018,English,Action,22-06-2018,111,"Village Roadshow Pictures, Warner Bros. Pictures",Gary Ross,"Sandra Bullock, Cate Blanchett"
The First Purge,2018,English,"Action, Thriller",04-07-2018,97,"Platinum Dunes, Blumhouse Productions",Gerard McMurray,"Y'lan Noel, Lex Scott Davis"
Hotel Transylvania 3: Summer Vacation,2018,English,"Animation, Fantasy",28-06-2018,97,"Columbia Pictures, Sony Pictures Animation",Genndy Tartakovsky,"Adam Sandler, Andy Samberg"
Aquaman,2018,English,"Action, Adventure",14-12-2018,143,"Warner Bros. Pictures, The Safran Company",James Wan,"Jason Momoa, Amber Heard"
Pacific Rim: Uprising,2018,English,"Action, Fantasy",28-03-2018,111,"Legendary Pictures, Double Dare You",Steven S. DeKnight,"John Boyega, Scott Eastwood"
Tomb Raider,2018,English,"Action, Adventure",16-03-2018,118,"Square Enix, GK Films",Roar Uthaug,"Alicia Vikander, Dominic West"
Ralph Breaks the Internet,2018,English,"Animation, Adventure",23-11-2018,112,Walt Disney Animation Studios,"Phil Johnston, Rich Moore","John C. Reilly, Sarah Silverman"
Sicario: Day of the Soldado,2018,English,"Action, Thriller",27-06-2018,122,"Thunder Road, Black Label Media",Stefano Sollima,"Benicio del Toro, Josh Brolin"
Hunter Killer,2018,English,"Action, Adventure",19-10-2018,121,"Original Film, G-BASE",Donovan Marsh,"Gerard Butler, Gary Oldman"
The Equalizer 2,2018,English,"Action, Thriller",19-07-2018,121,"Lonetree Entertainment, Fuqua Films",Antoine Fuqua,"Denzel Washington, Pedro Pascal"
Upgrade,2018,English,"Action, Thriller",31-05-2018,100,"Goalpost Pictures, Automatik Entertainment",Leigh Whannell,"Logan Marshall-Green, Betty Gabriel"
Creed II,2018,English,Action,21-11-2018,130,"Metro-Goldwyn-Mayer, New Line Cinema",Steven Caple Jr.,"Michael B. Jordan, Sylvester Stallone"
Bird Box,2018,English,Thriller,13-12-2018,124,"Bluegrass Films, Chris Morgan Productions",Susanne Bier,"Sandra Bullock, Trevante Rhodes"
Annihilation,2018,English,Sci-Fi,23-02-2018,115,"Paramount Pictures, Skydance Media",Alex Garland,"Natalie Portman, Jennifer Jason Leigh"
Ant-Man and the Wasp,2018,English,"Action, Adventure",13-07-2018,119,Marvel Studios,Peyton Reed,"Paul Rudd, Evangeline Lilly"
Alpha,2018,English,Adventure,24-08-2018,97,"Studio 8, Columbia Pictures",Albert Hughes,"Kodi Smit-McPhee, Jóhannes Haukur Jóhannesson"
Peppermint,2018,English,"Action, Thriller",06-09-2018,102,"STXfilms, Lakeshore Entertainment",Pierre Morel,"Jennifer Garner, John Gallagher Jr."
What Keeps You Alive,2018,English,Thriller,24-08-2018,99,Digital Interference Productions,Colin Minihan,"Hannah Emily Anderson, Brittany Allen"
The Strangers: Prey at Night,2018,English,Thriller,16-03-2018,86,"Aviron Pictures, White Comet Films",Johannes Roberts,"Bailee Madison, Christina Hendricks"
Den of Thieves,2018,English,"Action, Thriller",02-02-2018,140,"Atmosphere Entertainment MM, Diamond Film Productions",Christian Gudegast,"Gerard Butler, Pablo Schreiber"
The House That Jack Built,2018,English,Thriller,05-07-2018,152,"Zentropa Entertainments, Copenhagen Film Fund",Lars von Trier,"Matt Dillon, Bruno Ganz"
Isle of Dogs,2018,English,"Adventure, Animation",06-07-2018,101,"Studio Babelsberg, American Empirical Pictures",Wes Anderson,"Bryan Cranston, Koyu Rankin"
Redcon-1,2018,English,"Action, Sci-Fi",07-09-2018,117,Apocalypse Pictures,Chee Keong Cheung,"Oris Erhuero, Carlos Gallardo"
Rampage,2018,English,"Action, Adventure",13-04-2018,107,"Wrigley Pictures, New Line Cinema",Brad Peyton,"Dwayne Johnson, Naomie Harris"
Dystopia,2018,English,Sci-Fi,02-01-2018,97,Runaway Features,Paul Tanter,"Michael Copon, Sheena Colette"
Goosebumps 2: Haunted Halloween,2018,English,Fantasy,11-10-2018,90,"Columbia Pictures, Original Film",Ari Sandel,"Jeremy Ray Taylor, Madison Iseman"
The Nutcracker and the Four Realms,2018,English,"Fantasy, Adventure",26-10-2018,99,"Walt Disney Pictures, The Mark Gordon Company","Lasse Hallström, Joe Johnston","Mackenzie Foy, Jayden Fowora-Knight"
The Lost Viking,2018,English,"Action, Adventure",28-05-2018,103,Tornado Studios,Emmet Cummins,"Dean Ridge, Ross O'Hennessy"
Red Sparrow,2018,English,Thriller,02-03-2018,140,"Chernin Entertainment, 20th Century Fox",Francis Lawrence,"Jennifer Lawrence, Joel Edgerton"
Mile 22,2018,English,"Action, Thriller",24-08-2018,94,"STXfilms, Closest to the Hole Productions",Peter Berg,"Mark Wahlberg, Lauren Cohan"
City of Lies,2018,English,Thriller,06-09-2018,112,"Infinitum Nihil, Romulus Entertainment",Brad Furman,"Johnny Depp, Forest Whitaker"
Truth or Dare,2018,English,Thriller,12-04-2018,101,Blumhouse Productions,Jeff Wadlow,"Lucy Hale, Violett Beane"
Insidious: The Last Key,2018,English,Thriller,03-01-2018,103,"Stage 6 Films, Blumhouse Productions",Adam Robitel,"Lin Shaye, Leigh Whannell"
Sorry to Bother You,2018,English,"Fantasy, Sci-Fi",06-07-2018,112,"Cinereach, Significant Productions",Boots Riley,"LaKeith Stanfield, Tessa Thompson"
Robin Hood,2018,English,"Adventure, Action",03-11-2018,116,"Appian Way, Safehouse Pictures",Otto Bathurst,"Taron Egerton, Jamie Foxx"
Overlord,2018,English,Sci-Fi,01-11-2018,110,"Bad Robot, Paramount Pictures",Julius Avery,"Jovan Adepo, Wyatt Russell"
Braven,2018,English,"Action, Thriller",01-02-2018,94,"Pride of Gypsies, Tinker Productions",Lin Oeding,"Jason Momoa, Stephen Lang"
Bumblebee,2018,English,"Action, Adventure",04-01-2019,113,"Paramount Pictures, Allspark Pictures",Travis Knight,"Dylan O'Brien, Hailee Steinfeld"
Laboratory Conditions,2018,English,Sci-Fi,13-10-2018,16,Joe Russell Productions,Jocelyn Stamat,"Marisa Tomei, Minnie Driver"
Johnny English Strikes Again,2018,English,"Action, Adventure",13-09-2018,89,"Working Title Films, Working Title Films",David Kerr,"Rowan Atkinson, Olga Kurylenko"
The Cloverfield Paradox,2018,English,"Thriller, Sci-Fi",04-02-2018,102,"Paramount Pictures, Bad Robot",Julius Onah,"Gugu Mbatha-Raw, Daniel Brühl"
Early Man,2018,English,"Animation, Adventure",26-01-2018,89,"StudioCanal, Aardman",Nick Park,"Eddie Redmayne, Tom Hiddleston"
6-Headed Shark Attack,2018,English,"Action, Sci-Fi",18-08-2018,89,The Asylum,Mark Atkins,"Brandon Auret, Thandi Sebe"
The Darkest Minds,2018,English,"Action, Adventure",25-07-2018,105,"21 Laps Entertainment, 20th Century Fox",Jennifer Yuh Nelson,"Amandla Stenberg, Harris Dickinson"
A Mother's Worst Fear,2018,English,Thriller,06-10-2018,90,Dawn's Light,Jared Cohn,"Katrina Begin, Joey Lawrence"
The Girl in the Spider's Web,2018,English,"Action, Thriller",25-10-2018,115,"Columbia Pictures, Metro-Goldwyn-Mayer",Fede Álvarez,"Claire Foy, Sverrir Gudnason"
Mowgli: Legend of the Jungle,2018,English,Adventure,25-11-2018,105,"The Imaginarium, Warner Bros. Pictures",Andy Serkis,"Rohan Chand, Christian Bale"
An Elephant's Journey,2018,English,Adventure,16-04-2018,87,"Enigma Pictures, Northern Light & Colour",Richard Boddington,"Elizabeth Hurley, Sam Ashe Arnold"
Delirium,2018,English,Thriller,10-05-2018,96,"Appian Way, Blumhouse Productions",Dennis Iliadis,"Topher Grace, Kelli Barksdale"
Suicide Squad: Hell to Pay,2018,English,"Sci-Fi, Action",23-03-2018,86,"DC Entertainment, Warner Bros. Animation",Sam Liu,"Christian Slater, Tara Strong"
LEGO DC Comics Super Heroes: Aquaman - Rage of Atlantis,2018,English,"Animation, Action",21-12-2018,77,"Warner Bros. Animation, DC Entertainment",Matt Peters,"Dee Bradley Baker, Susan Eisenberg"
Ghostland,2018,English,Thriller,14-03-2018,91,"Mars Films, 5656 Films",Pascal Laugier,"Crystal Reed, Mylène Farmer"
Solo: A Star Wars Story,2018,English,"Sci-Fi, Adventure",15-05-2018,135,Lucasfilm Ltd.,Ron Howard,"Alden Ehrenreich, Joonas Suotamo"
Death Wish,2018,English,"Action, Thriller",02-03-2018,107,"Metro-Goldwyn-Mayer, Cave 76 Productions",Eli Roth,"Bruce Willis, Vincent D'Onofrio"
12 Feet Deep,2018,English,Thriller,08-11-2018,85,Citizen Skull Productions,Matt Eskandari,"Nora-Jane Noone, Alexandra Park"
Fantastic Beasts: The Crimes of Grindelwald,2018,English,"Fantasy, Adventure",16-11-2018,134,"Warner Bros. Pictures, Heyday Films",David Yates,"Eddie Redmayne, Katherine Waterston"
Axemas 2: Blood Slay,2018,English,Action,28-01-2018,34,Dark Park Films,John Ward,"Ashley Campbell, Drew Marvick"
Bad Samaritan,2018,English,Thriller,19-04-2018,111,"Electric Entertainment, Global Pictures Media",Dean Devlin,"David Tennant, Robert Sheehan"
Accident Man,2018,English,"Action, Thriller",06-02-2018,101,"LINK Entertainment, Six Demon Films",Jesse V. Johnson,"Scott Adkins, Ray Stevenson"
Mortal Engines,2018,English,"Adventure, Sci-Fi",27-11-2018,128,"Scholastic Productions, Silvertongue Films",Christian Rivers,"Hera Hilmar, Robert Sheehan"
Kin,2018,English,"Sci-Fi, Action",29-08-2018,102,"21 Laps Entertainment, No Trace Camping","Josh Baker, Jonathan Baker","Myles Truitt, Jack Reynor"
Widows,2018,English,Thriller,06-11-2018,129,"20th Century Fox, Regency Enterprises",Steve McQueen,"Viola Davis, Michelle Rodriguez"
Prescription for Danger,2018,English,Thriller,01-02-2018,94,Incendo Productions,Caroline Labrèche,"Joanne Kelly, Shaun Benson"
Terminal,2018,English,"Thriller, Action",11-05-2018,95,"LuckyChap Entertainment, Beagle Pug Films",Vaughn Stein,"Margot Robbie, Simon Pegg"
Death Race: Beyond Anarchy,2018,English,"Action, Thriller",02-10-2018,111,"Capital Arts Entertainment, UFO International Productions",Don Michael Paul,"Danny Trejo, Zach McGowan"
The Titan,2018,English,"Sci-Fi, Thriller",30-03-2018,97,"42, The Amel Company",Lennart Ruff,"Sam Worthington, Taylor Schilling"
Destined to Ride,2018,English,Adventure,01-08-2018,90,Taylor & Dodge,Anna Elizabeth James,"Madeline Carroll, Denise Richards"
Edge of Isolation,2018,English,Thriller,20-04-2018,90,Violet State Productions,Jeff Houkal,"Michael Marcel, Marem Hassler"
The Last Man,2018,English,"Sci-Fi, Action",06-09-2018,101,"Cinema 7 Films, Aicon Music Pictures",Rodrigo H. Vila,"Hayden Christensen, Harvey Keitel"
It Chapter Two,2019,English,Thriller,06-09-2019,169,"New Line Cinema, Vertigo Entertainment",Andy Muschietti,"Bill Skarsgård, James McAvoy"
Avengement,2019,English,Action,24-05-2019,88,"Compound B, Dreamstage Films",Jesse V. Johnson,"Scott Adkins, Craig Fairbrass"
Spider-Man: Far From Home,2019,English,"Action, Adventure",04-07-2019,129,"Marvel Studios, Pascal Pictures",Jon Watts,"Tom Holland, Jake Gyllenhaal"
Avengers: Endgame,2019,English,"Adventure, Sci-Fi",26-04-2019,181,Marvel Studios,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans"
Joker,2019,English,Thriller,02-10-2019,122,"Warner Bros. Pictures, Joint Effort",Todd Phillips,"Joaquin Phoenix, Robert De Niro"
John Wick: Chapter 3 - Parabellum,2019,English,"Action, Thriller",17-05-2019,131,"Thunder Road, Lionsgate",Chad Stahelski,"Keanu Reeves, Halle Berry"
How to Train Your Dragon: The Hidden World,2019,English,"Animation, Adventure",21-03-2019,104,"DreamWorks Animation, Mad Hatter Entertainment",Dean DeBlois,"Jay Baruchel, America Ferrera"
Once Upon a Time... in Hollywood,2019,English,Thriller,26-07-2019,162,"Heyday Films, Columbia Pictures",Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt"
Jumanji: The Next Level,2019,English,"Adventure, Fantasy",13-12-2019,123,"Columbia Pictures, Seven Bucks Productions",Jake Kasdan,"Dwayne Johnson, Kevin Hart"
Fast & Furious Presents: Hobbs & Shaw,2019,English,"Action, Adventure",31-07-2019,137,"Chris Morgan Productions, Seven Bucks Productions",David Leitch,"Dwayne Johnson, Jason Statham"
The Lion King,2019,English,"Adventure, Animation",19-07-2019,118,"Walt Disney Pictures, Fairview Entertainment",Jon Favreau,"Chiwetel Ejiofor, John Oliver"
Frozen II,2019,English,"Animation, Adventure",20-11-2019,103,Walt Disney Animation Studios,"Jennifer Lee, Chris Buck","Idina Menzel, Kristen Bell"
Godzilla: King of the Monsters,2019,English,"Sci-Fi, Action",30-05-2019,132,"Legendary Pictures, Huahua Media",Michael Dougherty,"Kyle Chandler, Vera Farmiga"
Toy Story 4,2019,English,"Animation, Adventure",21-06-2019,100,Pixar,Josh Cooley,"Tom Hanks, Tim Allen"
Polar,2019,English,Action,25-01-2019,118,"Dark Horse Entertainment, Constantin Film",Jonas Åkerlund,"Mads Mikkelsen, Vanessa Hudgens"
Star Wars: The Rise of Skywalker,2019,English,"Adventure, Action",18-12-2019,142,"Lucasfilm Ltd., Bad Robot",J.J. Abrams,"Carrie Fisher, Mark Hamill"
Zombieland: Double Tap,2019,English,Action,09-10-2019,99,"Columbia Pictures, 2.0 Entertainment",Ruben Fleischer,"Woody Harrelson, Jesse Eisenberg"
Angel Has Fallen,2019,English,"Action, Thriller",21-08-2019,122,"Campbell Grobman Films, Eclectic Pictures",Ric Roman Waugh,"Gerard Butler, Morgan Freeman"
The Addams Family,2019,English,"Animation, Fantasy",10-10-2019,87,"Cinesite Animation, Nitrogen Studios Canada","Conrad Vernon, Greg Tiernan","Oscar Isaac, Charlize Theron"
1917,2019,English,Action,17-01-2020,119,"DreamWorks Pictures, Reliance Entertainment",Sam Mendes,"George MacKay, Dean-Charles Chapman"
Ford v Ferrari,2019,English,Action,15-11-2019,153,"20th Century Fox, TSG Entertainment",James Mangold,"Matt Damon, Christian Bale"
Dark Phoenix,2019,English,"Sci-Fi, Action",05-06-2019,114,"Genre Films, Hutch Parker Entertainment",Simon Kinberg,"Sophie Turner, James McAvoy"
Alita: Battle Angel,2019,English,"Action, Sci-Fi",08-02-2019,122,"Troublemaker Studios, Lightstorm Entertainment",Robert Rodriguez,"Rosa Salazar, Christoph Waltz"
Maleficent: Mistress of Evil,2019,English,"Fantasy, Adventure",16-10-2019,119,"Walt Disney Pictures, Roth Films",Joachim Rønning,"Angelina Jolie, Elle Fanning"
Aladdin,2019,English,"Adventure, Fantasy",24-05-2019,127,"Walt Disney Pictures, Rideback",Guy Ritchie,"Will Smith, Mena Massoud"
The Angry Birds Movie 2,2019,English,"Animation, Adventure",02-08-2019,96,"Rovio Animation, Columbia Pictures",Thurop Van Orman,"Jason Sudeikis, Josh Gad"
The Secret Life of Pets 2,2019,English,"Adventure, Animation",14-06-2019,86,"Universal Pictures, Illumination",Chris Renaud,"Patton Oswalt, Kevin Hart"
Captain Marvel,2019,English,"Action, Adventure",08-03-2019,124,Marvel Studios,"Ryan Fleck, Anna Boden","Brie Larson, Samuel L. Jackson"
Escape Room,2019,English,Thriller,03-01-2019,100,"Columbia Pictures, Original Film",Adam Robitel,"Taylor Russell, Logan Miller"
Klaus,2019,English,"Animation, Adventure",08-11-2019,96,"Atresmedia, The SPA Studios",Sergio Pablos,"Jason Schwartzman, J.K. Simmons"
Serenity,2019,English,Thriller,24-01-2019,102,"Nebulastar, Shoebox Films",Steven Knight,"Matthew McConaughey, Anne Hathaway"
El Camino: A Breaking Bad Movie,2019,English,Thriller,11-10-2019,123,"Sony Pictures Television, Gran Via Productions",Vince Gilligan,"Aaron Paul, Jesse Plemons"
Countdown,2019,English,Thriller,24-10-2019,90,"Wrigley Pictures, Universal Pictures",Justin Dec,"Elizabeth Lail, Jordan Calloway"
Murder Mystery,2019,English,Action,25-05-2019,97,"Vinson Films, Endgame Entertainment",Kyle Newacheck,"Adam Sandler, Jennifer Aniston"
Anna,2019,English,"Action, Adventure",19-06-2019,119,"EuropaCorp, TF1 Films Production",Luc Besson,"Sasha Luss, Helen Mirren"
Triple Frontier,2019,English,"Action, Thriller",06-03-2019,125,Atlas Entertainment,J.C. Chandor,"Ben Affleck, Oscar Isaac"
Us,2019,English,Thriller,29-03-2019,116,"Monkeypaw Productions, Universal Pictures",Jordan Peele,"Lupita Nyong'o, Winston Duke"
Terminator: Dark Fate,2019,English,"Sci-Fi, Action",23-10-2019,128,"20th Century Fox, Skydance Media",Tim Miller,"Linda Hamilton, Arnold Schwarzenegger"
Rambo: Last Blood,2019,English,"Action, Thriller",20-09-2019,89,"Millennium Media, Templeton Media",Adrian Grünberg,"Sylvester Stallone, Paz Vega"
Abominable,2019,English,"Animation, Adventure",19-09-2019,97,"DreamWorks Animation, dentsu",Jill Culton,"Chloe Bennet, Albert Tsai"
Dark Waters,2019,English,Thriller,22-11-2019,127,"Participant, Willi Hill",Todd Haynes,"Mark Ruffalo, Anne Hathaway"
Shazam!,2019,English,"Action, Fantasy",05-04-2019,132,"New Line Cinema, The Safran Company",David F. Sandberg,"Zachary Levi, Mark Strong"
Real Cases of Shadow People: The Sarah McCormick Story,2019,English,Thriller,16-01-2019,107,Mazz Appeal Films,"Joseph Mazzaferro, Jospeh D. Thomas","Kierney Nelson, Lisa Arcaro"
Child's Play,2019,English,Thriller,19-06-2019,90,"KatzSmith Productions, Bron Studios",Lars Klevberg,"Mark Hamill, Aubrey Plaza"
How to Train Your Dragon: Homecoming,2019,English,"Animation, Fantasy",03-12-2019,22,DreamWorks Animation,Tim Johnson,"Jay Baruchel, America Ferrera"
Doom: Annihilation,2019,English,"Action, Sci-Fi",30-09-2019,97,"Universal 1440 Entertainment, di Bonaventura Pictures",Tony Giglio,"Amy Manson, Luke Allen-Gale"
Enhanced,2019,English,"Action, Sci-Fi",24-10-2019,95,JP Action Film,James Mark,"George Tchortov, Alanna Bale"
Midway,2019,English,Action,06-11-2019,138,"AGC Studios, Centropolis Entertainment",Roland Emmerich,"Ed Skrein, Patrick Wilson"
The Dead Don't Die,2019,English,"Fantasy, Sci-Fi",15-05-2019,104,"Kill the Head, Animal Kingdom",Jim Jarmusch,"Bill Murray, Adam Driver"
6 Underground,2019,English,"Action, Thriller",10-12-2019,128,"Skydance Media, Bay Films",Michael Bay,"Ryan Reynolds, Mélanie Laurent"
Glass,2019,English,"Thriller, Sci-Fi",18-01-2019,129,"Blinding Edge Pictures, Blumhouse Productions",M. Night Shyamalan,"James McAvoy, Bruce Willis"
A Dog's Journey,2019,English,Adventure,03-05-2019,109,"Amblin Entertainment, Reliance Entertainment",Gail Mancuso,"Marg Helgenberger, Betty Gilpin"
Crawl,2019,English,"Thriller, Action",10-07-2019,87,"Raimi Productions, Fire Axe Pictures",Alexandre Aja,"Kaya Scodelario, Barry Pepper"
Yesterday,2019,English,Fantasy,12-07-2019,116,"Working Title Films, Working Title Films",Danny Boyle,"Himesh Patel, Lily James"
Men in Black: International,2019,English,"Sci-Fi, Action",14-06-2019,115,"Amblin Entertainment, Parkes+MacDonald Image Nation",F. Gary Gray,"Chris Hemsworth, Tessa Thompson"
Scooby-Doo! Return to Zombie Island,2019,English,"Fantasy, Animation",03-09-2019,80,Warner Bros. Animation,"Cecilia Aranovich, Ethan Spaulding","Frank Welker, Grey DeLisle"
Hellboy,2019,English,"Fantasy, Action",12-04-2019,120,"Campbell Grobman Films, Dark Horse Entertainment",Neil Marshall,"David Harbour, Milla Jovovich"
Ma,2019,English,Thriller,29-05-2019,99,"Blumhouse Productions, Wyolah Films",Tate Taylor,"Octavia Spencer, Juliette Lewis"
Nail in the Coffin: The Fall and Rise of Vampiro,2019,English,Action,20-09-2019,90,"9 Light Entertainment, Hangar 18 Media",Michael Paszt,"Ian Hodgkinson, Jeffrey Jarrett"
Triple Threat,2019,English,"Thriller, Action",19-03-2019,96,"Hamilton Entertainment, Kungfuman Culture Media",Jesse V. Johnson,"Tony Jaa, Tiger Chen Hu"
Marvel Rising: Battle of the Bands,2019,English,"Animation, Action",28-08-2019,22,Marvel Animation,Chris Rutkowski,"Dove Cameron, Tyler Posey"
Pokémon Detective Pikachu,2019,English,"Action, Adventure",10-05-2019,105,"Legendary Pictures, The Pokémon Company",Rob Letterman,"Ryan Reynolds, Justice Smith"
The Hummingbird Project,2019,English,Thriller,15-03-2019,111,"Item 7, Belga Productions",Kim Nguyen,"Jesse Eisenberg, Alexander Skarsgård"
The Lighthouse,2019,English,"Fantasy, Thriller",18-10-2019,109,"RT Features, Parts & Labor",Robert Eggers,"Robert Pattinson, Willem Dafoe"
Dora and the Lost City of Gold,2019,English,Adventure,08-08-2019,102,"Nickelodeon Movies, Paramount Players",James Bobin,"Isabela Merced, Jeffrey Wahlberg"
The Secret Lives of Cheerleaders,2019,English,Thriller,02-09-2019,88,"Production Media Films, Hybrid",Peter Sullivan,"Denise Richards, Savannah May"
Togo,2019,English,Adventure,20-12-2019,113,Walt Disney Pictures,Ericson Core,"Willem Dafoe, Julianne Nicholson"
Rise of the Footsoldier 4: Marbella,2019,English,Action,08-11-2019,85,"Carnaby International, Lipsync Productions",Andrew Loveday,"Craig Fairbrass, Terry Stone"
Merry Men 2: Another Mission,2019,English,Action,20-12-2019,114,"Corporate World Entertainment, FilmOne Distribution",Moses Inwang,"Damilola Adegbite, Alex Asogwa"
We Have Always Lived in the Castle,2019,English,Thriller,17-05-2019,96,"Furthur Films, Mighty Engine",Stacie Passon,"Taissa Farmiga, Alexandra Daddario"
Point Blank,2019,English,"Action, Thriller",12-07-2019,86,"WarParty Films, Gaumont",Joe Lynch,"Anthony Mackie, Frank Grillo"
Uncut Gems,2019,English,Thriller,30-08-2019,136,"A24, Elara Pictures","Josh Safdie, Benny Safdie","Adam Sandler, LaKeith Stanfield"
Cruel Fixation,2019,English,Thriller,10-10-2019,90,Sunshine Films,Damián Romay,"Kristina Klebe, Tanner Buchanan"
The Highwaymen,2019,English,Thriller,15-03-2019,133,Casey Silver Productions,John Lee Hancock,"Kevin Costner, Woody Harrelson"
LEGO DC Batman: Family Matters,2019,English,"Animation, Action",21-07-2019,72,"Warner Bros. Animation, DC Entertainment",Matt Peters,"Troy Baker, Jason Spisak"
Dumbo,2019,English,"Fantasy, Adventure",29-03-2019,112,"Tim Burton Productions, Walt Disney Pictures",Tim Burton,"Colin Farrell, Michael Keaton"
The Art of Self-Defense,2019,English,Thriller,12-07-2019,104,End Cue,Riley Stearns,"Jesse Eisenberg, Alessandro Nivola"
Doctor Sleep,2019,English,Fantasy,08-11-2019,152,"Vertigo Entertainment, Intrepid Pictures",Mike Flanagan,"Ewan McGregor, Rebecca Ferguson"
Shaft,2019,English,Action,14-06-2019,111,"Davis Entertainment, New Line Cinema",Tim Story,"Samuel L. Jackson, Jessie T. Usher"
Get Duked!,2019,English,Action,08-03-2019,87,"Highland Midgie, Material Pictures",Ninian Doff,"Lewis Gribben, Rian Gordon"
Vivarium,2019,English,"Sci-Fi, Thriller",07-09-2019,97,"Fantastic Films, Frakas Productions",Lorcan Finnegan,"Imogen Poots, Jesse Eisenberg"
Down,2019,English,Thriller,01-02-2019,82,Blumhouse Television,Daniel Stamm,"Natalie Martinez, Matt Lauria"
Danger Close: The Battle of Long Tan,2019,English,Action,08-08-2019,119,"Red Dune Films, Full Clip Productions",Kriv Stenders,"Travis Fimmel, Luke Bracey"
The Courier,2019,English,"Action, Thriller",22-11-2019,99,"Rollercoaster Angel Productions, Signature Films",Zackary Adler,"Olga Kurylenko, Gary Oldman"
Am I a Serial Killer?,2019,English,Thriller,10-05-2019,82,"Reel One Entertainment, Lifetime",Penelope Buitenhuis,"Monroe Cline, Jhey Castles"
The Car: Road to Revenge,2019,English,"Action, Thriller",08-01-2019,89,"BUFO, Universal 1440 Entertainment",G.J. Echternkamp,"Grant Bowler, Kathleen Munroe"
Spider-Man: No Way Home,2021,English,"Action, Adventure",17-12-2021,148,"Marvel Studios, Pascal Pictures",Jon Watts,"Tom Holland, Zendaya"
The Suicide Squad,2021,English,"Action, Adventure",06-08-2021,132,"DC Films, Atlas Entertainment",James Gunn,"Margot Robbie, Idris Elba"
Dune,2021,English,"Sci-Fi, Adventure",22-10-2021,155,Legendary Pictures,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson"
The Conjuring: The Devil Made Me Do It,2021,English,Thriller,25-05-2021,111,"New Line Cinema, The Safran Company",Michael Chaves,"Patrick Wilson, Vera Farmiga"
Nobody,2021,English,"Action, Thriller",27-08-2021,91,"87North Productions, OPE Partners",Ilya Naishuller,"Bob Odenkirk, Aleksey Serebryakov"
Girl in the Basement,2021,English,Thriller,27-02-2021,88,"Big Dreams Entertainment, Swirl Films",Elisabeth Röhm,"Judd Nelson, Stefanie Scott"
The Tomorrow War,2021,English,"Action, Sci-Fi",03-09-2021,138,"Skydance Media, Phantom Four",Chris McKay,"Chris Pratt, Yvonne Strahovski"
